,speaker,statement,kaigi_id,teirei_id,giin_id,city_name,jiscode,num_votes,name,name_senkyo,kana,age,gender,title,new_and_old,party,kaiha,gicho,gicho_sub,kansa,shicho_or_giin
0,清水正樹,皆さん、おはようございます。これより、本日の会議を開き、直ちに日程に入ります。△〜日程第1．会議録署名議員の指名〜,2011102825206,125206201110,,草津市,25206.0,1941.0,清水正樹,清水　正樹,シミズ　マサキ,60.0,男,,現職,無所属,草政会,1.0,,,0.0
1,清水正樹,日程第1、会議録署名議員の指名を行います。会議録署名議員は、会議規則第81条の規定に基づき、6番伊吹達郎議員18番中島一廣議員以上の両議員を指名いたします。△〜日程第2．議第58号から議第83号までの各議案に対する質疑および一般質問〜,2011102825206,125206201110,,草津市,25206.0,1941.0,清水正樹,清水　正樹,シミズ　マサキ,60.0,男,,現職,無所属,草政会,1.0,,,0.0
2,清水正樹,日程第2、これより議第58号から議第83号までの各議案に対する質疑および一般質問を行います。それでは、発言通告書が提出されておりますので、順次、これを許します。まず、18番、中島一廣議員。,2011102825206,125206201110,,草津市,25206.0,1941.0,清水正樹,清水　正樹,シミズ　マサキ,60.0,男,,現職,無所属,草政会,1.0,,,0.0
3,中島一廣,おはようございます。草政会の中島でございます。この10月定例会、私どもにとりましては、9月11日の市議会議員選挙で市民の負託を受けまして、これから4年間取り組む最初の定例市議会でもございます。今議会、1番目に質問をさせていただくことになり、何度もこの場に立たせていただいておりますが、心機一転、この4年間、市民の皆様にお約束をいたしました分権時代を先導する議会となるべく、議会改革のさらなる推進、そして行財政改革への取り組み等、橋川市長とともに草津市のよりよいまちづくりのために全身全霊を注いでまいりたいと考えております。くしくも、きょうから国会では臨時国会が召集されまして、いわゆる東日本大震災の復旧・復興への第3次予算審議ということが行われております。その中で、消費税、法人税、また、たばこ税、いわゆる税の増額を図りながら復興に充てていきたいという中で審議をされます。また、他方、今、話題になっております年金の支給年齢を上げていくとか、また話題になっておりますＴＰＰ参加、これらについてもですね、審議をされていくということを、新聞、もしくはテレビでいろいろ話が飛んでおります。そういった中でですね、国の政策、その他について、我々地方自治体につきましてはですね、今後のいわゆる運営について非常に大きなやっぱり影響も出てくるであろうということを踏まえまして質問に入らせていただきたいと思います。それでは、まず第1番目に市長のマニフェストについて質問をさせていただきます。さきの6月定例市議会でも質問をいたしましたが、橋川市長の「もっと草津」宣言に係るマニフェスト評価の進捗状況とロードマップの意識調査でございます。この内容につきましては、去る9月22日に、草津アミカホールで草津青年会議所が中心となりました「市民によるマニフェスト検証大会」、これが実施されております。その中で、市長のマニフェスト評価は、Ａ評価が21事業、Ｂ評価が26事業、Ｃ評価が16事業、Ｄ評価が2事業でありました。この65事業の中で、おおむね市長のいわゆる自己採点は75点ぐらい、そしてまた、先般の検証大会でも、大体73から75％のお答えをいただいておるということで、まずまず良好な評価をされたと、こう思っております。その中で、市長として任期があと5カ月ぐらいですか、になってまいりました、Ｃ評価が16事業、Ｄ評価が2事業ある事業評価についての所見も踏まえ、もっと力を注いでいかなければならないと考えておられることについて、まずは質問をさせていただきます。,2011102825206,125206201110,,草津市,25206.0,1648.501,中島一廣,中島　一広,ナカジマ　カズヒロ,67.0,男,,現職,無所属,草政会,,,,0.0
4,清水正樹,それでは、答弁を求めます。橋川市長。,2011102825206,125206201110,,草津市,25206.0,1941.0,清水正樹,清水　正樹,シミズ　マサキ,60.0,男,,現職,無所属,草政会,1.0,,,0.0
5,橋川渉,私のマニフェストの自己評価ともっと力を注いでいかなければならないと考えていることについてでございますけれども、私が4年前の市長選挙にお示しをした25項目65の政策・施策のマニフェスト「もっと草津」宣言の実行、評価につきましては、マニフェストの中で、2年後、4年後に進行状況を検証していただくこととしておりましたが、昨年度に引き続き、1期4年の任期満了を迎える今年度におきましても、これまでの3年の成果と任期内の実行見込みを点検し、マニフェストの自己評価を公表をさせていただきますとともに、マニフェストロードマップの市民意識調査の実施や「市民によるマニフェスト検証大会」を実施していただいたところでございます。マニフェストの自己評価では、マニフェストを提示した政治家として、その目標達成に向けて、どのように必要な取り組みを行ってきたかという観点から、自分として力を注いできたこと、まだやれていないと感じていることなどを総合的に評価をいたしましたが、全体の65本の政策・施策のうち、9割以上で具体的な取り組みを行い、約7割で順調に成果が上がっておりますが、課題もありますし引き続き努力する必要があるもの、あるいは、具体的な取り組みが十分できていないと評価を行ったものもあり、全体としては、8割程度のできであったと総括をいたしたところでございます。このことは、「市民によるマニフェスト検証大会」でも、これは数値化をして分析・評価をいただき、私の自己評価が75.38点、市民アンケート結果による評価が75.4点と算出をされ、最終的に検証大会として75点という評価をいただいたところでございます。任期満了まで5カ月を切りましたが、課題等があり具体的な成果があらわれていない政策・施策につきましても、少しでも成果が上げられるよう、さらに頑張って取り組んでまいりたいと考えております。また、もっと力を注いでいかなければならないと考えていることにつきましては、マニフェストの項目で低い評価となっている政策・施策のみならず、すべての項目につきまして、そのレベルを上げていかなければならんというように考えておりまして、大きくは「防災・安全のまちづくりの推進」、「教育の充実」、「子育て支援の充実」、「高齢者福祉の充実」、「まちづくり基盤整備の推進」の五つを重点施策として取り組みながら、市民との協働のまちづくり、これをさらに一層進めてまいりたいと考えているところでございます。,2011102825206,125206201110,,草津市,25206.0,17584.0,橋川渉,橋川渉,ハシカワ ワタル,59.0,男,,新人,無所属,,,,,1.0
6,清水正樹,中島議員。,2011102825206,125206201110,,草津市,25206.0,1941.0,清水正樹,清水　正樹,シミズ　マサキ,60.0,男,,現職,無所属,草政会,1.0,,,0.0
7,中島一廣,市長みずからがですね、振り返ってですね、反省も含めた形の中で、残された16項目及び2項目についてはですね、しっかりやっていくという決意でございますので、その辺につきましてはですね、この残された四、五カ月でしっかりと取り組んでいただきたいなと、こう思いますので、よろしくお願い申し上げたいと思います。それじゃ、常々、市長を初め、いわゆる幹部職員の皆さんに組織マネジメントを発揮していただいて、年度途中であっても、柔軟かつ大胆に対応し、必要に応じて変容し得る、もっと機動的な組織運営の仕組みにならなければならないことについては、再三にわたりお願いをしていること、これらにつきましてはしっかり取り組んでいただき、成果をおさめていただいていることについては、承知をしております。しかし、市長が申されます「もっと」に力を注いでいかなければならないことについては、今、言いました残された市長の任期期間中にやり抜くぐらいの強い思いが、これは当然必要だと僕は思っております。そのためにも、年度途中であっても、柔軟かつ大胆に対応できる、もっと機動的な組織運営の仕組みについてのお考えをお聞きいたします。,2011102825206,125206201110,,草津市,25206.0,1648.501,中島一廣,中島　一広,ナカジマ　カズヒロ,67.0,男,,現職,無所属,草政会,,,,0.0
8,清水正樹,橋川市長。,2011102825206,125206201110,,草津市,25206.0,1941.0,清水正樹,清水　正樹,シミズ　マサキ,60.0,男,,現職,無所属,草政会,1.0,,,0.0
9,橋川渉,政策・施策の実現のためには、年度途中であっても、柔軟かつ大胆に対応できる機動的な組織運営の仕組みが必要ではないかというお尋ねでございますけれども、近年、多様な行政需要が増大し、部局をまたがるようなニーズ、課題が増加をしており、これらの解決に当たりましては、部門横断的な体制づくり、あるいは戦略チーム的なものなど、個々の課題の特性に合わせた機動的な組織づくりが必要であると考えております。また、そのような組織づくりを的確な時期に行うためには、現状の組織・執行体制を初め、業務の進捗状況などを常に把握、検証をすることが必要であります。このようなことから、今年度につきましては、部の組織目標の達成に向けて、組織の経営層自身が具体的な計画を立て、その行動とプロセス、そして成果を評価する「経営マネジメント評価」を部長・副部長級に導入をいたしました。業務と組織の両方のマネジメント強化に取り組んでいるところでございます。今後も、経営層における業務・組織両面のマネジメントを率先垂範して行い、組織全体の意識改革を図りますとともに、議員御提案のように、課題の特性に応じた必要な組織づくりにも取り組みまして、より一層、柔軟かつ成果重視の市政運営に努めてまいりたいと考えております。,2011102825206,125206201110,,草津市,25206.0,17584.0,橋川渉,橋川渉,ハシカワ ワタル,59.0,男,,新人,無所属,,,,,1.0
